STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,cons_fp,Consumption footprint,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",AT,Austria,2010,,100,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",AT,Austria,2011,,102,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",AT,Austria,2012,,97,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",AT,Austria,2013,,99,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",AT,Austria,2014,,101,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",AT,Austria,2015,,102,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",AT,Austria,2016,,103,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",AT,Austria,2017,,100,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",AT,Austria,2018,,103,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",AT,Austria,2019,,103,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",AT,Austria,2020,,102,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",AT,Austria,2021,,102,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",AT,Austria,2022,,105,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",AT,Austria,2023,,107,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",BE,Belgium,2010,,100,,,,,
dataflow,ESTAT:CEI_GSR010(1.0),Consumption footprint,A,Annual,AC,Acidification,I10,"Index, 2010=100",BE,Belgium,2011,,105,,,,,
