STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,rawmat,Raw materials,stk_flow,Stock or flow,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:CEI_SRM020(1.0),Trade in recyclable raw materials,A,Annual,TOTAL,Total,EXP_XEU27_2020,Exports extra-EU27 (from 2020),T,Tonne,AT,Austria,2004,,128811,,,,,
dataflow,ESTAT:CEI_SRM020(1.0),Trade in recyclable raw materials,A,Annual,TOTAL,Total,EXP_XEU27_2020,Exports extra-EU27 (from 2020),T,Tonne,AT,Austria,2005,,112938,,,,,
dataflow,ESTAT:CEI_SRM020(1.0),Trade in recyclable raw materials,A,Annual,TOTAL,Total,EXP_XEU27_2020,Exports extra-EU27 (from 2020),T,Tonne,AT,Austria,2006,,138886,,,,,
dataflow,ESTAT:CEI_SRM020(1.0),Trade in recyclable raw materials,A,Annual,TOTAL,Total,EXP_XEU27_2020,Exports extra-EU27 (from 2020),T,Tonne,AT,Austria,2007,,150114,,,,,
dataflow,ESTAT:CEI_SRM020(1.0),Trade in recyclable raw materials,A,Annual,TOTAL,Total,EXP_XEU27_2020,Exports extra-EU27 (from 2020),T,Tonne,AT,Austria,2008,,163875,,,,,
dataflow,ESTAT:CEI_SRM020(1.0),Trade in recyclable raw materials,A,Annual,TOTAL,Total,EXP_XEU27_2020,Exports extra-EU27 (from 2020),T,Tonne,AT,Austria,2009,,133030,,,,,
dataflow,ESTAT:CEI_SRM020(1.0),Trade in recyclable raw materials,A,Annual,TOTAL,Total,EXP_XEU27_2020,Exports extra-EU27 (from 2020),T,Tonne,AT,Austria,2010,,257930,,,,,
dataflow,ESTAT:CEI_SRM020(1.0),Trade in recyclable raw materials,A,Annual,TOTAL,Total,EXP_XEU27_2020,Exports extra-EU27 (from 2020),T,Tonne,AT,Austria,2011,,196208,,,,,
dataflow,ESTAT:CEI_SRM020(1.0),Trade in recyclable raw materials,A,Annual,TOTAL,Total,EXP_XEU27_2020,Exports extra-EU27 (from 2020),T,Tonne,AT,Austria,2012,,176162,,,,,
dataflow,ESTAT:CEI_SRM020(1.0),Trade in recyclable raw materials,A,Annual,TOTAL,Total,EXP_XEU27_2020,Exports extra-EU27 (from 2020),T,Tonne,AT,Austria,2013,,159651,,,,,
dataflow,ESTAT:CEI_SRM020(1.0),Trade in recyclable raw materials,A,Annual,TOTAL,Total,EXP_XEU27_2020,Exports extra-EU27 (from 2020),T,Tonne,AT,Austria,2014,,165261,,,,,
dataflow,ESTAT:CEI_SRM020(1.0),Trade in recyclable raw materials,A,Annual,TOTAL,Total,EXP_XEU27_2020,Exports extra-EU27 (from 2020),T,Tonne,AT,Austria,2015,,194791,,,,,
dataflow,ESTAT:CEI_SRM020(1.0),Trade in recyclable raw materials,A,Annual,TOTAL,Total,EXP_XEU27_2020,Exports extra-EU27 (from 2020),T,Tonne,AT,Austria,2016,,192567,,,,,
dataflow,ESTAT:CEI_SRM020(1.0),Trade in recyclable raw materials,A,Annual,TOTAL,Total,EXP_XEU27_2020,Exports extra-EU27 (from 2020),T,Tonne,AT,Austria,2017,,204203,,,,,
dataflow,ESTAT:CEI_SRM020(1.0),Trade in recyclable raw materials,A,Annual,TOTAL,Total,EXP_XEU27_2020,Exports extra-EU27 (from 2020),T,Tonne,AT,Austria,2018,,207732,,,,,
dataflow,ESTAT:CEI_SRM020(1.0),Trade in recyclable raw materials,A,Annual,TOTAL,Total,EXP_XEU27_2020,Exports extra-EU27 (from 2020),T,Tonne,AT,Austria,2019,,258314,,,,,
dataflow,ESTAT:CEI_SRM020(1.0),Trade in recyclable raw materials,A,Annual,TOTAL,Total,EXP_XEU27_2020,Exports extra-EU27 (from 2020),T,Tonne,AT,Austria,2020,,242099,,,,,
dataflow,ESTAT:CEI_SRM020(1.0),Trade in recyclable raw materials,A,Annual,TOTAL,Total,EXP_XEU27_2020,Exports extra-EU27 (from 2020),T,Tonne,AT,Austria,2021,,246142,,,,,
dataflow,ESTAT:CEI_SRM020(1.0),Trade in recyclable raw materials,A,Annual,TOTAL,Total,EXP_XEU27_2020,Exports extra-EU27 (from 2020),T,Tonne,AT,Austria,2022,,183036,,,,,
dataflow,ESTAT:CEI_SRM020(1.0),Trade in recyclable raw materials,A,Annual,TOTAL,Total,EXP_XEU27_2020,Exports extra-EU27 (from 2020),T,Tonne,AT,Austria,2023,,182871,,,,,
dataflow,ESTAT:CEI_SRM020(1.0),Trade in recyclable raw materials,A,Annual,TOTAL,Total,EXP_XEU27_2020,Exports extra-EU27 (from 2020),T,Tonne,AT,Austria,2024,,186020,,,,,
dataflow,ESTAT:CEI_SRM020(1.0),Trade in recyclable raw materials,A,Annual,TOTAL,Total,EXP_XEU27_2020,Exports extra-EU27 (from 2020),T,Tonne,BE,Belgium,2004,,3095972,,,,,
dataflow,ESTAT:CEI_SRM020(1.0),Trade in recyclable raw materials,A,Annual,TOTAL,Total,EXP_XEU27_2020,Exports extra-EU27 (from 2020),T,Tonne,BE,Belgium,2005,,3383751,,,,,
dataflow,ESTAT:CEI_SRM020(1.0),Trade in recyclable raw materials,A,Annual,TOTAL,Total,EXP_XEU27_2020,Exports extra-EU27 (from 2020),T,Tonne,BE,Belgium,2006,,3312473,,,,,
