STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,airpol,Air pollutants and greenhouse gases,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,AT,Austria,2008,,8104.74549,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,AT,Austria,2009,,7318.14404,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,AT,Austria,2010,,7711.00548,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,AT,Austria,2011,,7491.8656,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,AT,Austria,2012,,7107.81024,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,AT,Austria,2013,,6895.53692,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,AT,Austria,2014,,6565.68887,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,AT,Austria,2015,,6615.96742,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,AT,Austria,2016,,6459.72098,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,AT,Austria,2017,,6760.69715,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,AT,Austria,2018,,6418.27357,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,AT,Austria,2019,,6770.31189,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,AT,Austria,2020,,6027.87044,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,AT,Austria,2021,,6242.84703,,,,,
dataflow,ESTAT:CEI_GSR011(1.0),Greenhouse gases emissions from production activities,A,Annual,GHG,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",TOTAL,Total - all NACE activities,KG_HAB,Kilograms per capita,AT,Austria,2022,,6290.14802,,,,,
