STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_env,Environment indicator,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:CEI_CIE012(1.0),Private investment and gross added value related to circular economy sectors,A,Annual,GVA,Gross value added,MIO_EUR,Million euro,AT,Austria,2005,,5295,,,,,
dataflow,ESTAT:CEI_CIE012(1.0),Private investment and gross added value related to circular economy sectors,A,Annual,GVA,Gross value added,MIO_EUR,Million euro,AT,Austria,2006,,5321,,,,,
dataflow,ESTAT:CEI_CIE012(1.0),Private investment and gross added value related to circular economy sectors,A,Annual,GVA,Gross value added,MIO_EUR,Million euro,AT,Austria,2007,,5466,,,,,
dataflow,ESTAT:CEI_CIE012(1.0),Private investment and gross added value related to circular economy sectors,A,Annual,GVA,Gross value added,MIO_EUR,Million euro,AT,Austria,2008,,6653,,,,,
dataflow,ESTAT:CEI_CIE012(1.0),Private investment and gross added value related to circular economy sectors,A,Annual,GVA,Gross value added,MIO_EUR,Million euro,AT,Austria,2009,,6130,,,,,
dataflow,ESTAT:CEI_CIE012(1.0),Private investment and gross added value related to circular economy sectors,A,Annual,GVA,Gross value added,MIO_EUR,Million euro,AT,Austria,2010,,6178,,,,,
dataflow,ESTAT:CEI_CIE012(1.0),Private investment and gross added value related to circular economy sectors,A,Annual,GVA,Gross value added,MIO_EUR,Million euro,AT,Austria,2011,,6379,,,,,
dataflow,ESTAT:CEI_CIE012(1.0),Private investment and gross added value related to circular economy sectors,A,Annual,GVA,Gross value added,MIO_EUR,Million euro,AT,Austria,2012,,6644,,,,,
dataflow,ESTAT:CEI_CIE012(1.0),Private investment and gross added value related to circular economy sectors,A,Annual,GVA,Gross value added,MIO_EUR,Million euro,AT,Austria,2013,,6865,,,,,
dataflow,ESTAT:CEI_CIE012(1.0),Private investment and gross added value related to circular economy sectors,A,Annual,GVA,Gross value added,MIO_EUR,Million euro,AT,Austria,2014,,7188,,,,,
dataflow,ESTAT:CEI_CIE012(1.0),Private investment and gross added value related to circular economy sectors,A,Annual,GVA,Gross value added,MIO_EUR,Million euro,AT,Austria,2015,,7325,,,,,
dataflow,ESTAT:CEI_CIE012(1.0),Private investment and gross added value related to circular economy sectors,A,Annual,GVA,Gross value added,MIO_EUR,Million euro,AT,Austria,2016,,7683,,,,,
dataflow,ESTAT:CEI_CIE012(1.0),Private investment and gross added value related to circular economy sectors,A,Annual,GVA,Gross value added,MIO_EUR,Million euro,AT,Austria,2017,,8307,,,,,
dataflow,ESTAT:CEI_CIE012(1.0),Private investment and gross added value related to circular economy sectors,A,Annual,GVA,Gross value added,MIO_EUR,Million euro,AT,Austria,2018,,7455,,,,,
dataflow,ESTAT:CEI_CIE012(1.0),Private investment and gross added value related to circular economy sectors,A,Annual,GVA,Gross value added,MIO_EUR,Million euro,AT,Austria,2019,,7571,,,,,
dataflow,ESTAT:CEI_CIE012(1.0),Private investment and gross added value related to circular economy sectors,A,Annual,GVA,Gross value added,MIO_EUR,Million euro,AT,Austria,2020,,7493,,,,,
dataflow,ESTAT:CEI_CIE012(1.0),Private investment and gross added value related to circular economy sectors,A,Annual,GVA,Gross value added,MIO_EUR,Million euro,AT,Austria,2021,,8795,,,,,
dataflow,ESTAT:CEI_CIE012(1.0),Private investment and gross added value related to circular economy sectors,A,Annual,GVA,Gross value added,MIO_EUR,Million euro,AT,Austria,2022,,8235,,,,,
dataflow,ESTAT:CEI_CIE012(1.0),Private investment and gross added value related to circular economy sectors,A,Annual,GVA,Gross value added,MIO_EUR,Million euro,AT,Austria,2023,,8407,,,,,
dataflow,ESTAT:CEI_CIE012(1.0),Private investment and gross added value related to circular economy sectors,A,Annual,GVA,Gross value added,MIO_EUR,Million euro,BE,Belgium,2005,,5413,,,,,
dataflow,ESTAT:CEI_CIE012(1.0),Private investment and gross added value related to circular economy sectors,A,Annual,GVA,Gross value added,MIO_EUR,Million euro,BE,Belgium,2006,,5606,,,,,
dataflow,ESTAT:CEI_CIE012(1.0),Private investment and gross added value related to circular economy sectors,A,Annual,GVA,Gross value added,MIO_EUR,Million euro,BE,Belgium,2007,,5799,,,,,
dataflow,ESTAT:CEI_CIE012(1.0),Private investment and gross added value related to circular economy sectors,A,Annual,GVA,Gross value added,MIO_EUR,Million euro,BE,Belgium,2008,,6219,,,,,
dataflow,ESTAT:CEI_CIE012(1.0),Private investment and gross added value related to circular economy sectors,A,Annual,GVA,Gross value added,MIO_EUR,Million euro,BE,Belgium,2009,,6070,,,,,
dataflow,ESTAT:CEI_CIE012(1.0),Private investment and gross added value related to circular economy sectors,A,Annual,GVA,Gross value added,MIO_EUR,Million euro,BE,Belgium,2010,,6533,,,,,
dataflow,ESTAT:CEI_CIE012(1.0),Private investment and gross added value related to circular economy sectors,A,Annual,GVA,Gross value added,MIO_EUR,Million euro,BE,Belgium,2011,,6959,,,,,
dataflow,ESTAT:CEI_CIE012(1.0),Private investment and gross added value related to circular economy sectors,A,Annual,GVA,Gross value added,MIO_EUR,Million euro,BE,Belgium,2012,,7025,,,,,
dataflow,ESTAT:CEI_CIE012(1.0),Private investment and gross added value related to circular economy sectors,A,Annual,GVA,Gross value added,MIO_EUR,Million euro,BE,Belgium,2013,,7411,,,,,
