STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,material,Materials,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:CEI_GSR030(1.0),Material import dependency,A,Annual,TOTAL,Total,PC,Percentage,AL,Albania,2010,,20.2,,,,,
dataflow,ESTAT:CEI_GSR030(1.0),Material import dependency,A,Annual,TOTAL,Total,PC,Percentage,AL,Albania,2011,,18.5,,,,,
dataflow,ESTAT:CEI_GSR030(1.0),Material import dependency,A,Annual,TOTAL,Total,PC,Percentage,AL,Albania,2012,,16.2,,,,,
dataflow,ESTAT:CEI_GSR030(1.0),Material import dependency,A,Annual,TOTAL,Total,PC,Percentage,AL,Albania,2013,,14.3,,,,,
dataflow,ESTAT:CEI_GSR030(1.0),Material import dependency,A,Annual,TOTAL,Total,PC,Percentage,AL,Albania,2014,,14.8,,,,,
dataflow,ESTAT:CEI_GSR030(1.0),Material import dependency,A,Annual,TOTAL,Total,PC,Percentage,AL,Albania,2015,,13,,,,,
dataflow,ESTAT:CEI_GSR030(1.0),Material import dependency,A,Annual,TOTAL,Total,PC,Percentage,AL,Albania,2016,,12.5,,,,,
dataflow,ESTAT:CEI_GSR030(1.0),Material import dependency,A,Annual,TOTAL,Total,PC,Percentage,AL,Albania,2017,,16.6,,,,,
dataflow,ESTAT:CEI_GSR030(1.0),Material import dependency,A,Annual,TOTAL,Total,PC,Percentage,AL,Albania,2018,,16.7,,,,,
dataflow,ESTAT:CEI_GSR030(1.0),Material import dependency,A,Annual,TOTAL,Total,PC,Percentage,AL,Albania,2019,,17.8,,,,,
dataflow,ESTAT:CEI_GSR030(1.0),Material import dependency,A,Annual,TOTAL,Total,PC,Percentage,AL,Albania,2020,,20.9,,,,,
dataflow,ESTAT:CEI_GSR030(1.0),Material import dependency,A,Annual,TOTAL,Total,PC,Percentage,AL,Albania,2021,,22.2,,,,,
dataflow,ESTAT:CEI_GSR030(1.0),Material import dependency,A,Annual,TOTAL,Total,PC,Percentage,AT,Austria,2000,,34.3,,b,break in time series,,
dataflow,ESTAT:CEI_GSR030(1.0),Material import dependency,A,Annual,TOTAL,Total,PC,Percentage,AT,Austria,2001,,35.8,,,,,
dataflow,ESTAT:CEI_GSR030(1.0),Material import dependency,A,Annual,TOTAL,Total,PC,Percentage,AT,Austria,2002,,34.9,,,,,
dataflow,ESTAT:CEI_GSR030(1.0),Material import dependency,A,Annual,TOTAL,Total,PC,Percentage,AT,Austria,2003,,37,,,,,
dataflow,ESTAT:CEI_GSR030(1.0),Material import dependency,A,Annual,TOTAL,Total,PC,Percentage,AT,Austria,2004,,37.3,,,,,
dataflow,ESTAT:CEI_GSR030(1.0),Material import dependency,A,Annual,TOTAL,Total,PC,Percentage,AT,Austria,2005,,38,,,,,
dataflow,ESTAT:CEI_GSR030(1.0),Material import dependency,A,Annual,TOTAL,Total,PC,Percentage,AT,Austria,2006,,39.5,,,,,
dataflow,ESTAT:CEI_GSR030(1.0),Material import dependency,A,Annual,TOTAL,Total,PC,Percentage,AT,Austria,2007,,39.7,,,,,
dataflow,ESTAT:CEI_GSR030(1.0),Material import dependency,A,Annual,TOTAL,Total,PC,Percentage,AT,Austria,2008,,39.1,,,,,
dataflow,ESTAT:CEI_GSR030(1.0),Material import dependency,A,Annual,TOTAL,Total,PC,Percentage,AT,Austria,2009,,38.9,,,,,
dataflow,ESTAT:CEI_GSR030(1.0),Material import dependency,A,Annual,TOTAL,Total,PC,Percentage,AT,Austria,2010,,41.5,,,,,
dataflow,ESTAT:CEI_GSR030(1.0),Material import dependency,A,Annual,TOTAL,Total,PC,Percentage,AT,Austria,2011,,41.3,,,,,
dataflow,ESTAT:CEI_GSR030(1.0),Material import dependency,A,Annual,TOTAL,Total,PC,Percentage,AT,Austria,2012,,42.9,,,,,
