STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,cpatc,Cooperative patent classification,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AT,Austria,2000,,9.17,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AT,Austria,2001,,7.46,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AT,Austria,2002,,17.81,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AT,Austria,2003,,12.46,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AT,Austria,2004,,9.3,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AT,Austria,2005,,10.26,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AT,Austria,2006,,9,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AT,Austria,2007,,7.93,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AT,Austria,2008,,8.86,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AT,Austria,2009,,5.54,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AT,Austria,2010,,10.31,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AT,Austria,2011,,15.95,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AT,Austria,2012,,11.44,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AT,Austria,2013,,10.44,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AT,Austria,2014,,10.37,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AT,Austria,2015,,10.6,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AT,Austria,2016,,7.71,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AT,Austria,2017,,5.33,,,,,
dataflow,ESTAT:CEI_CIE020(1.0),Patents related to recycling and secondary raw materials,A,Annual,Y02W,Climate change mitigation technologies related to wastewater treatment or waste management,NR,Number,AT,Austria,2018,,13.01,,,,,
