STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,waste,Waste categories,wst_oper,Waste management operations,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:CEI_PC040(1.0),Generation of packaging waste per capita,A,Annual,W1501,Packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2000,,146.04,,,,,
dataflow,ESTAT:CEI_PC040(1.0),Generation of packaging waste per capita,A,Annual,W1501,Packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2001,,136.36,,,,,
dataflow,ESTAT:CEI_PC040(1.0),Generation of packaging waste per capita,A,Annual,W1501,Packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2002,,131.03,,,,,
dataflow,ESTAT:CEI_PC040(1.0),Generation of packaging waste per capita,A,Annual,W1501,Packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2003,,142.83,,,,,
dataflow,ESTAT:CEI_PC040(1.0),Generation of packaging waste per capita,A,Annual,W1501,Packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2004,,134.83,,,,,
dataflow,ESTAT:CEI_PC040(1.0),Generation of packaging waste per capita,A,Annual,W1501,Packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2005,,135.08,,,,,
dataflow,ESTAT:CEI_PC040(1.0),Generation of packaging waste per capita,A,Annual,W1501,Packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2006,,141.06,,,,,
dataflow,ESTAT:CEI_PC040(1.0),Generation of packaging waste per capita,A,Annual,W1501,Packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2007,,142.79,,,,,
dataflow,ESTAT:CEI_PC040(1.0),Generation of packaging waste per capita,A,Annual,W1501,Packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2008,,141.82,,,,,
dataflow,ESTAT:CEI_PC040(1.0),Generation of packaging waste per capita,A,Annual,W1501,Packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2009,,139.5,,,,,
dataflow,ESTAT:CEI_PC040(1.0),Generation of packaging waste per capita,A,Annual,W1501,Packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2010,,147.17,,,,,
dataflow,ESTAT:CEI_PC040(1.0),Generation of packaging waste per capita,A,Annual,W1501,Packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2011,,146.82,,,,,
dataflow,ESTAT:CEI_PC040(1.0),Generation of packaging waste per capita,A,Annual,W1501,Packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2012,,148.7,,,,,
dataflow,ESTAT:CEI_PC040(1.0),Generation of packaging waste per capita,A,Annual,W1501,Packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2013,,149.97,,,,,
dataflow,ESTAT:CEI_PC040(1.0),Generation of packaging waste per capita,A,Annual,W1501,Packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2014,,152.52,,,,,
dataflow,ESTAT:CEI_PC040(1.0),Generation of packaging waste per capita,A,Annual,W1501,Packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2015,,151.72,,,,,
dataflow,ESTAT:CEI_PC040(1.0),Generation of packaging waste per capita,A,Annual,W1501,Packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2016,,153.46,,,,,
dataflow,ESTAT:CEI_PC040(1.0),Generation of packaging waste per capita,A,Annual,W1501,Packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2017,,156.52,,,,,
dataflow,ESTAT:CEI_PC040(1.0),Generation of packaging waste per capita,A,Annual,W1501,Packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2018,,159.9,,,,,
dataflow,ESTAT:CEI_PC040(1.0),Generation of packaging waste per capita,A,Annual,W1501,Packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2019,,161.89,,,,,
dataflow,ESTAT:CEI_PC040(1.0),Generation of packaging waste per capita,A,Annual,W1501,Packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2020,,157.34,,,,,
dataflow,ESTAT:CEI_PC040(1.0),Generation of packaging waste per capita,A,Annual,W1501,Packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2021,,164.61,,,,,
dataflow,ESTAT:CEI_PC040(1.0),Generation of packaging waste per capita,A,Annual,W1501,Packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2022,,163.2,,,,,
dataflow,ESTAT:CEI_PC040(1.0),Generation of packaging waste per capita,A,Annual,W1501,Packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BE,Belgium,2000,,145.96,,,,,
dataflow,ESTAT:CEI_PC040(1.0),Generation of packaging waste per capita,A,Annual,W1501,Packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BE,Belgium,2001,,138.39,,,,,
dataflow,ESTAT:CEI_PC040(1.0),Generation of packaging waste per capita,A,Annual,W1501,Packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BE,Belgium,2002,,144.22,,,,,
dataflow,ESTAT:CEI_PC040(1.0),Generation of packaging waste per capita,A,Annual,W1501,Packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BE,Belgium,2003,,156.47,,,,,
dataflow,ESTAT:CEI_PC040(1.0),Generation of packaging waste per capita,A,Annual,W1501,Packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BE,Belgium,2004,,156.6,,,,,
dataflow,ESTAT:CEI_PC040(1.0),Generation of packaging waste per capita,A,Annual,W1501,Packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BE,Belgium,2005,,158.36,,,,,
dataflow,ESTAT:CEI_PC040(1.0),Generation of packaging waste per capita,A,Annual,W1501,Packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BE,Belgium,2006,,157.9,,,,,
dataflow,ESTAT:CEI_PC040(1.0),Generation of packaging waste per capita,A,Annual,W1501,Packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BE,Belgium,2007,,157.07,,,,,
dataflow,ESTAT:CEI_PC040(1.0),Generation of packaging waste per capita,A,Annual,W1501,Packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BE,Belgium,2008,,157.81,,,,,
dataflow,ESTAT:CEI_PC040(1.0),Generation of packaging waste per capita,A,Annual,W1501,Packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BE,Belgium,2009,,152.11,,,,,
dataflow,ESTAT:CEI_PC040(1.0),Generation of packaging waste per capita,A,Annual,W1501,Packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BE,Belgium,2010,,154.74,,,,,
dataflow,ESTAT:CEI_PC040(1.0),Generation of packaging waste per capita,A,Annual,W1501,Packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BE,Belgium,2011,,154.24,,,,,
dataflow,ESTAT:CEI_PC040(1.0),Generation of packaging waste per capita,A,Annual,W1501,Packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BE,Belgium,2012,,154.46,,,,,
dataflow,ESTAT:CEI_PC040(1.0),Generation of packaging waste per capita,A,Annual,W1501,Packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BE,Belgium,2013,,155.77,,,,,
dataflow,ESTAT:CEI_PC040(1.0),Generation of packaging waste per capita,A,Annual,W1501,Packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BE,Belgium,2014,,155.4,,,,,
