STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:CEI_PC032(1.0),Generation of waste excluding major mineral wastes per GDP unit,A,Annual,KG_TEUR_CLV10,"Kilograms per thousand euro, chain linked volumes (2010)",AL,Albania,2022,,40,,d,definition differs (see metadata),,
dataflow,ESTAT:CEI_PC032(1.0),Generation of waste excluding major mineral wastes per GDP unit,A,Annual,KG_TEUR_CLV10,"Kilograms per thousand euro, chain linked volumes (2010)",AT,Austria,2004,,87,,,,,
dataflow,ESTAT:CEI_PC032(1.0),Generation of waste excluding major mineral wastes per GDP unit,A,Annual,KG_TEUR_CLV10,"Kilograms per thousand euro, chain linked volumes (2010)",AT,Austria,2006,,80,,,,,
dataflow,ESTAT:CEI_PC032(1.0),Generation of waste excluding major mineral wastes per GDP unit,A,Annual,KG_TEUR_CLV10,"Kilograms per thousand euro, chain linked volumes (2010)",AT,Austria,2008,,77,,,,,
dataflow,ESTAT:CEI_PC032(1.0),Generation of waste excluding major mineral wastes per GDP unit,A,Annual,KG_TEUR_CLV10,"Kilograms per thousand euro, chain linked volumes (2010)",AT,Austria,2010,,54,,,,,
dataflow,ESTAT:CEI_PC032(1.0),Generation of waste excluding major mineral wastes per GDP unit,A,Annual,KG_TEUR_CLV10,"Kilograms per thousand euro, chain linked volumes (2010)",AT,Austria,2012,,48,,,,,
dataflow,ESTAT:CEI_PC032(1.0),Generation of waste excluding major mineral wastes per GDP unit,A,Annual,KG_TEUR_CLV10,"Kilograms per thousand euro, chain linked volumes (2010)",AT,Austria,2014,,51,,,,,
dataflow,ESTAT:CEI_PC032(1.0),Generation of waste excluding major mineral wastes per GDP unit,A,Annual,KG_TEUR_CLV10,"Kilograms per thousand euro, chain linked volumes (2010)",AT,Austria,2016,,52,,,,,
dataflow,ESTAT:CEI_PC032(1.0),Generation of waste excluding major mineral wastes per GDP unit,A,Annual,KG_TEUR_CLV10,"Kilograms per thousand euro, chain linked volumes (2010)",AT,Austria,2018,,50,,,,,
dataflow,ESTAT:CEI_PC032(1.0),Generation of waste excluding major mineral wastes per GDP unit,A,Annual,KG_TEUR_CLV10,"Kilograms per thousand euro, chain linked volumes (2010)",AT,Austria,2020,,51,,,,,
dataflow,ESTAT:CEI_PC032(1.0),Generation of waste excluding major mineral wastes per GDP unit,A,Annual,KG_TEUR_CLV10,"Kilograms per thousand euro, chain linked volumes (2010)",AT,Austria,2022,,50,,,,,
dataflow,ESTAT:CEI_PC032(1.0),Generation of waste excluding major mineral wastes per GDP unit,A,Annual,KG_TEUR_CLV10,"Kilograms per thousand euro, chain linked volumes (2010)",BA,Bosnia and Herzegovina,2012,,313,,,,,
dataflow,ESTAT:CEI_PC032(1.0),Generation of waste excluding major mineral wastes per GDP unit,A,Annual,KG_TEUR_CLV10,"Kilograms per thousand euro, chain linked volumes (2010)",BA,Bosnia and Herzegovina,2014,,373,,,,,
dataflow,ESTAT:CEI_PC032(1.0),Generation of waste excluding major mineral wastes per GDP unit,A,Annual,KG_TEUR_CLV10,"Kilograms per thousand euro, chain linked volumes (2010)",BA,Bosnia and Herzegovina,2016,,389,,,,,
dataflow,ESTAT:CEI_PC032(1.0),Generation of waste excluding major mineral wastes per GDP unit,A,Annual,KG_TEUR_CLV10,"Kilograms per thousand euro, chain linked volumes (2010)",BA,Bosnia and Herzegovina,2018,,362,,,,,
dataflow,ESTAT:CEI_PC032(1.0),Generation of waste excluding major mineral wastes per GDP unit,A,Annual,KG_TEUR_CLV10,"Kilograms per thousand euro, chain linked volumes (2010)",BA,Bosnia and Herzegovina,2020,,362,,,,,
dataflow,ESTAT:CEI_PC032(1.0),Generation of waste excluding major mineral wastes per GDP unit,A,Annual,KG_TEUR_CLV10,"Kilograms per thousand euro, chain linked volumes (2010)",BA,Bosnia and Herzegovina,2022,,327,,,,,
dataflow,ESTAT:CEI_PC032(1.0),Generation of waste excluding major mineral wastes per GDP unit,A,Annual,KG_TEUR_CLV10,"Kilograms per thousand euro, chain linked volumes (2010)",BE,Belgium,2004,,104,,,,,
dataflow,ESTAT:CEI_PC032(1.0),Generation of waste excluding major mineral wastes per GDP unit,A,Annual,KG_TEUR_CLV10,"Kilograms per thousand euro, chain linked volumes (2010)",BE,Belgium,2006,,98,,,,,
