STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,waste,Waste categories,wst_oper,Waste management operations,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2000,,26.21,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2001,,25.43,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2002,,24.75,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2003,,26.69,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2004,,27.55,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2005,,27.35,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2006,,28.8,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2007,,29.49,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2008,,30.23,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2009,,30.66,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2010,,31.63,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2011,,31.48,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2012,,32.24,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2013,,34.05,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2014,,34.16,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2015,,34.12,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2016,,34.09,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2017,,34.36,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2018,,34.16,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2019,,33.31,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2020,,33.55,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2021,,33.67,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,AT,Austria,2022,,33.17,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BE,Belgium,2000,,23.78,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BE,Belgium,2001,,23.32,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BE,Belgium,2002,,24.97,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BE,Belgium,2003,,26.8,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BE,Belgium,2004,,27.01,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BE,Belgium,2005,,27.7,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BE,Belgium,2006,,28.66,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BE,Belgium,2007,,29.06,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BE,Belgium,2008,,28.16,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BE,Belgium,2009,,28.11,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BE,Belgium,2010,,28.96,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BE,Belgium,2011,,28.62,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BE,Belgium,2012,,28.85,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BE,Belgium,2013,,29.51,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BE,Belgium,2014,,29.36,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BE,Belgium,2015,,30.13,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BE,Belgium,2016,,30.28,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BE,Belgium,2017,,30.36,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BE,Belgium,2018,,30.4,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BE,Belgium,2019,,30.57,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BE,Belgium,2020,,32,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BE,Belgium,2021,,32.02,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BE,Belgium,2022,,31.36,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BG,Bulgaria,2005,,13.84,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BG,Bulgaria,2006,,11.75,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BG,Bulgaria,2007,,13.53,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BG,Bulgaria,2008,,10.37,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BG,Bulgaria,2009,,12.82,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BG,Bulgaria,2010,,11.08,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BG,Bulgaria,2011,,12.92,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BG,Bulgaria,2012,,13.16,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BG,Bulgaria,2013,,13.48,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BG,Bulgaria,2014,,14.43,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BG,Bulgaria,2015,,14.25,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BG,Bulgaria,2016,,15.7,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BG,Bulgaria,2017,,17.63,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BG,Bulgaria,2018,,19.57,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BG,Bulgaria,2019,,24.62,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BG,Bulgaria,2021,,23.25,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,BG,Bulgaria,2022,,22.95,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,CY,Cyprus,2004,,44.83,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,CY,Cyprus,2005,,46.36,,,,,
dataflow,ESTAT:CEI_PC050(1.0),Generation of plastic packaging waste per capita,A,Annual,W150102,Plastic packaging,GEN,Waste generated,KG_HAB,Kilograms per capita,CY,Cyprus,2006,,17.05,,,,,
