STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,waste,Waste categories,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W150102,Plastic packaging,RT,Rate,AT,Austria,2000,,26.2,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W150102,Plastic packaging,RT,Rate,AT,Austria,2001,,29.1,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W150102,Plastic packaging,RT,Rate,AT,Austria,2002,,30,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W150102,Plastic packaging,RT,Rate,AT,Austria,2003,,30.7,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W150102,Plastic packaging,RT,Rate,AT,Austria,2004,,33.2,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W150102,Plastic packaging,RT,Rate,AT,Austria,2005,,32.9,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W150102,Plastic packaging,RT,Rate,AT,Austria,2006,,35.8,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W150102,Plastic packaging,RT,Rate,AT,Austria,2007,,32.7,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W150102,Plastic packaging,RT,Rate,AT,Austria,2008,,34.9,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W150102,Plastic packaging,RT,Rate,AT,Austria,2009,,32.7,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W150102,Plastic packaging,RT,Rate,AT,Austria,2010,,34.4,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W150102,Plastic packaging,RT,Rate,AT,Austria,2011,,34.8,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W150102,Plastic packaging,RT,Rate,AT,Austria,2012,,34.7,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W150102,Plastic packaging,RT,Rate,AT,Austria,2013,,34.4,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W150102,Plastic packaging,RT,Rate,AT,Austria,2014,,33.6,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W150102,Plastic packaging,RT,Rate,AT,Austria,2015,,33.6,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W150102,Plastic packaging,RT,Rate,AT,Austria,2016,,33.6,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W150102,Plastic packaging,RT,Rate,AT,Austria,2017,,33.4,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W150102,Plastic packaging,RT,Rate,AT,Austria,2018,,31.9,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W150102,Plastic packaging,RT,Rate,AT,Austria,2019,,30.8,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W150102,Plastic packaging,RT,Rate,AT,Austria,2020,,31.6,,b,break in time series,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W150102,Plastic packaging,RT,Rate,AT,Austria,2021,,30.4,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W150102,Plastic packaging,RT,Rate,AT,Austria,2022,,25.4,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W150102,Plastic packaging,RT,Rate,BE,Belgium,2000,,25.5,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W150102,Plastic packaging,RT,Rate,BE,Belgium,2001,,28.5,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W150102,Plastic packaging,RT,Rate,BE,Belgium,2002,,29.5,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W150102,Plastic packaging,RT,Rate,BE,Belgium,2003,,32.5,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W150102,Plastic packaging,RT,Rate,BE,Belgium,2004,,36.5,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W150102,Plastic packaging,RT,Rate,BE,Belgium,2005,,38.1,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W150102,Plastic packaging,RT,Rate,BE,Belgium,2006,,38.6,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W150102,Plastic packaging,RT,Rate,BE,Belgium,2007,,38.4,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W150102,Plastic packaging,RT,Rate,BE,Belgium,2008,,39.5,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W150102,Plastic packaging,RT,Rate,BE,Belgium,2009,,43,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W150102,Plastic packaging,RT,Rate,BE,Belgium,2010,,41.5,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W150102,Plastic packaging,RT,Rate,BE,Belgium,2011,,41.4,,,,,
dataflow,ESTAT:CEI_WM020(1.0),Recycling rate of packaging waste by type of packaging,A,Annual,W150102,Plastic packaging,RT,Rate,BE,Belgium,2012,,41.5,,,,,
