STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,wst_oper,Waste management operations,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,AT,Austria,2010,,60,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,AT,Austria,2012,,65,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,AT,Austria,2014,,62,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,AT,Austria,2016,,66,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,AT,Austria,2018,,63,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,AT,Austria,2020,,63,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,BE,Belgium,2010,,75,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,BE,Belgium,2012,,80,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,BE,Belgium,2014,,81,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,BE,Belgium,2016,,78,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,BE,Belgium,2018,,81,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,BE,Belgium,2020,,87,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,BG,Bulgaria,2010,,27,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,BG,Bulgaria,2012,,14,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,BG,Bulgaria,2014,,17,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,BG,Bulgaria,2016,,27,,,,,
dataflow,ESTAT:CEI_WM010(1.0),Recycling rate of all waste excluding major mineral waste,A,Annual,RCV_R,Recovery - recycling,PC,Percentage,BG,Bulgaria,2018,,23,,,,,
