STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",AT,Austria,2000,,100,,,,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",AT,Austria,2001,,104.134,,b,break in time series,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",AT,Austria,2002,,99.511,,b,break in time series,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",AT,Austria,2003,,104.417,,b,break in time series,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",AT,Austria,2004,,102.967,,b,break in time series,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",AT,Austria,2005,,101.958,,b,break in time series,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",AT,Austria,2006,,103.778,,b,break in time series,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",AT,Austria,2007,,105.988,,b,break in time series,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",AT,Austria,2008,,110.31,,b,break in time series,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",AT,Austria,2009,,113.713,,b,break in time series,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",AT,Austria,2010,,115.122,,b,break in time series,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",AT,Austria,2011,,111.795,,b,break in time series,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",AT,Austria,2012,,118.588,,b,break in time series,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",AT,Austria,2013,,121.171,,b,break in time series,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",AT,Austria,2014,,119.032,,b,break in time series,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",AT,Austria,2015,,124.471,,b,break in time series,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",AT,Austria,2016,,124.567,,b,break in time series,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",AT,Austria,2017,,127.016,,b,break in time series,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",AT,Austria,2018,,129.719,,b,break in time series,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",AT,Austria,2019,,129.359,,b,break in time series,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",AT,Austria,2020,,119.949,,b,break in time series,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",AT,Austria,2021,,120.744,,b,break in time series,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",AT,Austria,2022,,135.44,,b,break in time series,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",AT,Austria,2023,,139.69,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",BE,Belgium,2000,,100,,,,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",BE,Belgium,2001,,87.346,,,,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",BE,Belgium,2002,,98.951,,,,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",BE,Belgium,2003,,101.826,,,,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",BE,Belgium,2004,,106.384,,,,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",BE,Belgium,2005,,113.713,,,,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",BE,Belgium,2006,,111.924,,,,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",BE,Belgium,2007,,108.55,,,,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",BE,Belgium,2008,,109.732,,,,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",BE,Belgium,2009,,118.27,,,,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",BE,Belgium,2010,,121.94,,,,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",BE,Belgium,2011,,115.643,,,,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",BE,Belgium,2012,,125.92,,,,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",BE,Belgium,2013,,128.158,,,,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",BE,Belgium,2014,,130.472,,,,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",BE,Belgium,2015,,134.189,,,,,
dataflow,ESTAT:CEI_PC030(1.0),Resource productivity,A,Annual,I00,"Index, 2000=100",BE,Belgium,2016,,135.893,,,,,
